"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","id","celltype"
"ENSG000001088286",1006.56752258063,-6.83026949999702,0.26105585774664,-26.1640154676244,6.82685759028432e-151,1.02207810780257e-148,"ENSG00000108828","oligodendrocyte precursor cell"
"ENSG000001277203",825.872620478953,4.27353454811615,0.163422262006454,26.1502594300609,9.78849207436969e-151,1.45326478997475e-148,"ENSG00000127720","oligodendrocyte precursor cell"
"ENSG000000265082",3405.23683353213,-11.3245510748048,0.433207923759297,-26.1411448260976,1.24268907490016e-150,1.82973128581993e-148,"ENSG00000026508","oligodendrocyte precursor cell"
"ENSG000001977467",8909.88778702408,-5.19979459377705,0.199092600610397,-26.1174678407686,2.30906886530759e-150,3.3719976151082e-148,"ENSG00000197746","oligodendrocyte precursor cell"
"ENSG000000711276",2078.35382779056,-6.2966321297764,0.241199640285143,-26.1054789399048,3.15929855442911e-150,4.57610268664301e-148,"ENSG00000071127","oligodendrocyte precursor cell"
"ENSG000001634304",3122.95334875983,-7.18049557222836,0.275130753337642,-26.0984840303054,3.79315539312218e-150,5.44990778095683e-148,"ENSG00000163430","oligodendrocyte precursor cell"
"ENSG000001342876",901.408000158434,-6.7637565354935,0.259625989765412,-26.0519239295148,1.27948500516563e-149,1.82362438816247e-147,"ENSG00000134287","oligodendrocyte precursor cell"
"ENSG000001969432",204.627371008989,-8.64084522675958,0.33191886158859,-26.0330045282868,2.09570464530028e-149,2.9632598381484e-147,"ENSG00000196943","oligodendrocyte precursor cell"
"ENSG000001291871",412.938208314712,-5.25113220819049,0.20213802488715,-25.9779534856051,8.79012793038693e-149,1.23310960006121e-146,"ENSG00000129187","oligodendrocyte precursor cell"
"ENSG000001078648",1814.95507790153,5.68119149952794,0.220144836723738,25.8066079771715,7.47514219969783e-147,1.04044635492044e-144,"ENSG00000107864","oligodendrocyte precursor cell"
