"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","id","celltype"
"ENSG000000265083",2302.56324899116,-10.3487050263129,0.411235739462007,-25.1648970000794,9.70924177919881e-140,8.64462341810966e-137,"ENSG00000026508","55"
"ENSG000001861533",4477.14514412148,5.05244352735692,0.201385113754166,25.0884657419342,6.64582772635622e-139,5.6353454439631e-136,"ENSG00000186153","55"
"ENSG000001270223",2347.14354317422,-6.73703512841399,0.269074963835552,-25.0377628315186,2.37309168412331e-138,1.92080198269017e-135,"ENSG00000127022","55"
"ENSG000002430693",846.775089220816,7.26995721333724,0.292938277344346,24.8173686253759,5.82248820848085e-136,4.50787163167037e-133,"ENSG00000243069","55"
"ENSG000002503263",624.809677605119,7.34265600615408,0.297335481400996,24.6948530042789,1.21470433110978e-134,9.01260001002996e-132,"ENSG00000250326","55"
"ENSG000001078643",704.254517719032,5.44747183968202,0.222066013096567,24.5308670323773,6.92210696030094e-133,4.93047834568315e-130,"ENSG00000107864","55"
"ENSG000001826703",1783.71891051711,-3.86636840066086,0.158662433472353,-24.3685182184892,3.6897057694152e-131,2.52702271676832e-128,"ENSG00000182670","55"
"ENSG000001089533",1705.55728874438,-5.21160522784697,0.214238446221048,-24.3261903723374,1.03589457187608e-130,6.83191653385086e-128,"ENSG00000108953","55"
"ENSG000001634303",1654.51842728147,-6.09312450375179,0.251725849846569,-24.205398481982,1.95180106971701e-129,1.24127577315895e-126,"ENSG00000163430","55"
"ENSG000001143533",1327.01613667032,-7.05690871627239,0.292604790735355,-24.1175433202493,1.63640413209646e-128,1.00480856483592e-125,"ENSG00000114353","55"
"ENSG000001015423",4975.17233678945,9.20280350744924,0.381975385465582,24.0926610918453,2.98416091657572e-128,1.7712984480488e-125,"ENSG00000101542","55"
"ENSG000001606913",590.146982773,-9.70434089967197,0.402893321996155,-24.0866263347115,3.45196423701016e-128,1.98287506994967e-125,"ENSG00000160691","55"
"ENSG000001676583",5646.96609833726,-9.48219513516904,0.39701758146699,-23.8835648036847,4.53879010190937e-126,2.52569485452188e-123,"ENSG00000167658","55"
"ENSG000001042053",637.635540467068,7.16167798695445,0.301054668851879,23.7886295345183,4.37948277603723e-125,2.36319544826954e-122,"ENSG00000104205","55"
"ENSG000002049293",896.764704434941,8.73501855302788,0.367451999401625,23.771862902508,6.52961420366632e-125,3.41978941543195e-122,"ENSG00000204929","55"
"ENSG000001413673",1510.7678022195,-5.28531509009064,0.223060926329624,-23.6944909046076,4.10947255296082e-124,2.09078222144495e-121,"ENSG00000141367","55"
"ENSG000000692753",1243.63227836524,-4.55758641799554,0.194563214221055,-23.4247076778727,2.393925410823e-121,1.18412860529237e-118,"ENSG00000069275","55"
"ENSG000001075813",895.013800755682,-6.08808495033906,0.260018474870022,-23.4140476109721,3.07418590227103e-121,1.47951428004703e-118,"ENSG00000107581","55"
"ENSG000002282223",1478.45469157357,9.70858570194569,0.41550988636055,23.3654746147755,9.59478816560539e-121,4.49616823328777e-118,"ENSG00000228222","55"
"ENSG000002853673",708.432681518358,7.11654623121473,0.305855132052261,23.2677025344101,9.4170727504248e-120,4.29973883248242e-117,"ENSG00000285367","55"
"ENSG000001506721",3514.98198016115,7.92483590432351,0.342009253582381,23.1714078531932,8.84622455498932e-119,3.93811801626737e-116,"ENSG00000150672","55"
"ENSG000002489323",675.904486994084,4.72533673820065,0.20473816168534,23.0799021506453,7.37043858487924e-118,3.20110731416938e-115,"ENSG00000248932","55"
"ENSG000002038793",790.825416253964,-5.73829030811255,0.249070588735516,-23.0388113556271,1.90445283243381e-117,8.07442656836877e-115,"ENSG00000203879","55"
"ENSG000001969243",8540.86696426525,-9.99999213579856,0.434428467568713,-23.0187312350033,3.02673338100964e-117,1.25341956547997e-114,"ENSG00000196924","55"
"ENSG000002045803",2834.88123865509,-7.34423849306144,0.320466039880095,-22.9173690161034,3.11861188082267e-116,1.26211640367748e-113,"ENSG00000204580","55"
"ENSG000001471403",1092.18532280585,-7.29918881397782,0.318580923204528,-22.9115690310551,3.56278923127521e-116,1.40983528536262e-113,"ENSG00000147140","55"
"ENSG000001055683",945.549980570842,-6.77595565321631,0.296115450754488,-22.8828169416743,6.8904529842394e-116,2.66735426718154e-113,"ENSG00000105568","55"
"ENSG000002718603",2109.37088028999,11.3152414056084,0.496296511219544,22.7993571379409,4.65296401213051e-115,1.76287936519166e-112,"ENSG00000271860","55"
"ENSG000001052233",1638.66481544106,-6.29179713959765,0.276678227016494,-22.7404852468661,1.78247580528868e-114,6.6126138884949e-112,"ENSG00000105223","55"
"ENSG000001137583",1140.13997419595,-7.83876198409952,0.345406669724047,-22.6942982611253,5.10018318103311e-114,1.85344820213585e-111,"ENSG00000113758","55"
"ENSG000001156773",1741.63200244539,-6.44218988200449,0.284138792284285,-22.6726869295586,8.33485402603845e-114,2.96837491283333e-111,"ENSG00000115677","55"
"ENSG000002361973",2881.48673670871,11.0353524209582,0.487737511558951,22.6255970874294,2.42656458107581e-113,8.47251676376801e-111,"ENSG00000236197","55"
"ENSG000001003453",3785.06575514505,-9.27510147582888,0.410122681586648,-22.6154316555869,3.0552806429161e-113,1.04625735400783e-110,"ENSG00000100345","55"
"ENSG000000783693",1228.0858863945,-5.08985731788565,0.225854589285891,-22.535992445311,1.84261952719689e-112,6.1908539473198e-110,"ENSG00000078369","55"
"ENSG000000093073",1311.24325936081,-5.63782496852281,0.250602213527826,-22.497107623899,4.43026960166784e-112,1.4609224221648e-109,"ENSG00000009307","55"
"ENSG000001674603",1523.69645451247,-8.64510455515073,0.384444332154362,-22.4872727520913,5.52953537457532e-112,1.79026248027387e-109,"ENSG00000167460","55"
"ENSG000001470653",961.730459925371,-6.70370771116455,0.298469086966747,-22.4603082995708,1.01481595475592e-111,3.22693351898904e-109,"ENSG00000147065","55"
"ENSG000000630463",1031.52312564072,-6.41088384620054,0.285678166460413,-22.440930385518,1.56927414792271e-111,4.90246750036135e-109,"ENSG00000063046","55"
"ENSG000001742313",827.174551646988,-5.82176362727619,0.260130317062021,-22.3801811839108,6.13945889904805e-111,1.88491973474739e-108,"ENSG00000174231","55"
