"","time","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","symbol","signif","Gene.stable.ID","Gene.stable.ID.1","Gene.name.1","symbol.hs"
"150","5",1.69073241499147e-176,-3.56191930861174,0.058,0.16,5.45852960179997e-172,"Fgf13",TRUE,"ENSMUSG00000031137","ENSG00000129682","FGF13","FGF13"
"151","5",0,-3.55783812874799,0.118,0.402,0,"Nrcam",TRUE,"ENSMUSG00000020598","ENSG00000091129","NRCAM","NRCAM"
"152","5",0,3.54970335521742,0.454,0.036,0,"Gata3",TRUE,"ENSMUSG00000015619","ENSG00000107485","GATA3","GATA3"
"153","5",0,-3.5494141189894,0.119,0.352,0,"Bmpr1b",TRUE,"ENSMUSG00000052430","ENSG00000138696","BMPR1B","BMPR1B"
"154","5",3.66052692755054e-52,-3.54799642628927,0.038,0.178,1.18180111855969e-47,"Add2",TRUE,"ENSMUSG00000030000","ENSG00000075340","ADD2","ADD2"
"155","5",2.00167826802758e-50,3.54195245987035,0.108,0.008,6.46241828832704e-46,"Car8",TRUE,"ENSMUSG00000041261","ENSG00000178538","CA8","CA8"
"156","5",8.18822960384269e-87,-3.520178885113,0.021,0.125,2.64356992760061e-82,"Pcdh17",TRUE,"ENSMUSG00000035566","ENSG00000118946","PCDH17","PCDH17"
"157","5",1.6655754389884e-181,-3.46615997257106,0.063,0.188,5.37731030477406e-177,"Astn2",TRUE,"ENSMUSG00000028373","ENSG00000148219","ASTN2","ASTN2"
"158","5",0,3.4632901503525,0.615,0.087,0,"Cobll1",TRUE,"ENSMUSG00000034903","ENSG00000082438","COBLL1","COBLL1"
"159","5",4.125792350267e-38,3.46239702068867,0.156,0.012,1.3320120602837e-33,"Fgf2",TRUE,"ENSMUSG00000037225","ENSG00000138685","FGF2","FGF2"
"160","5",1.37135550219905e-77,3.45526551336871,0.149,0.01,4.42742123884962e-73,"Ptprb",TRUE,"ENSMUSG00000020154","ENSG00000127329","PTPRB","PTPRB"
"161","5",4.83965515752822e-88,3.44609939362364,0.206,0.018,1.56248266760799e-83,"Itgb3",TRUE,"ENSMUSG00000020689","ENSG00000259753","",""
"162","5",4.11499368660978e-254,3.43161113665286,0.252,0.019,1.32852571172197e-249,"Prdm6",TRUE,"ENSMUSG00000069378","ENSG00000061455","PRDM6","PRDM6"
"163","5",0,3.43081821416213,0.552,0.058,0,"Smad6",TRUE,"ENSMUSG00000036867","ENSG00000137834","SMAD6","SMAD6"
"164","5",0,3.43081084390887,0.492,0.049,0,"Ptgs2",TRUE,"ENSMUSG00000032487","ENSG00000073756","PTGS2","PTGS2"
"165","5",1.0869402108692e-85,-3.42925853866713,0.045,0.153,3.50918647079122e-81,"Fgf12",TRUE,"ENSMUSG00000022523","ENSG00000114279","FGF12","FGF12"
"166","5",0,-3.42884340738792,0.1,0.281,0,"Sema6d",TRUE,"ENSMUSG00000027200","ENSG00000137872","SEMA6D","SEMA6D"
"167","5",8.55200275631009e-245,3.42291466020385,0.243,0.024,2.76101408987471e-240,"Pdk4",TRUE,"ENSMUSG00000019577","ENSG00000004799","PDK4","PDK4"
"168","5",0,3.4072015938524,0.376,0.045,0,"Npnt",TRUE,"ENSMUSG00000040998","ENSG00000168743","NPNT","NPNT"
