"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Gm30411",7.75007284429775,-0.940957714189113,0.83310533681894,0.0882803900400301,0.159279871148395
"Gm28989",88.5695790575293,-1.76391711086043,0.307651251868653,1.71734717219879e-09,1.47547055192553e-08
"Ipo11",14450.9151577306,-0.926787352299927,0.161789970031988,5.30433047063961e-09,4.30052560181647e-08
"Gm28988",62.3850547311745,-1.57628680657549,0.353989424551831,2.01421385577768e-06,1.12349646950034e-05
"Dimt1",2582.71730839878,-0.194215830621555,0.140714173303969,0.161698633863362,0.262096653031005
"Kif2a",16226.4619237508,-0.0212666676420017,0.164657181220844,0.887527433885785,0.927315280374328
"3830408C21Rik",393.973363719016,0.0260504398943757,0.179198303507631,0.877583207604749,0.919868108074039
"Gm48684",8.25046924936622,0.0112437029367799,0.608797442094036,0.982316426778079,0.989346010981093
"Gm31452",18.8364993066508,0.0356801609217264,0.453194336428043,0.929958506423103,0.955964771099719
"AI197445",14.7314865401626,0.609607222015258,0.567412218813211,0.178797023384154,0.283268572279864
"Gm32004",20.7677398856024,-0.871160870655343,0.642945676126041,0.0705237394939021,0.132545502424942
"Gm32090",4.136851969142,-2.2174348208876,2.02375327857017,0.0112469053614567,0.0277136454998789
"1700006H21Rik",1.45261621873714,-0.246269411969066,0.865869591085271,0.49937574670917,NA
"Zswim6",40101.7457063835,-0.297991530549918,0.136187166356219,0.0266571217357233,0.0583738948762843
"B230220B15Rik",4.22665588275821,0.0950802717705979,0.673252132306023,0.835312316549439,0.890920530555201
"Ndufaf2",7695.61984204875,-0.216989333396522,0.155019982256849,0.152283787165886,0.249808564251644
"Smim15",3280.56396283185,1.05424333886893,0.209739756901967,2.33811008144017e-07,1.51516194898517e-06
"Ercc8",2162.86094473006,-0.526143191245249,0.157192456699435,0.000649941392797997,0.00220050598619567
"Elovl7",419.436570477431,-0.229115316519743,0.274400792323823,0.373015089128149,0.50281439202299
"Gm2822",2.92791512342233,-0.200276564664423,0.814761462063829,0.582995064949044,0.697996460403009
"Depdc1b",3041.14059293927,-1.4662591968999,0.182287932581336,2.33352941963018e-16,3.93410512479545e-15
"Pde4d",74753.3297173096,0.599854641068709,0.127125649656402,1.47394090454646e-06,8.40457242929089e-06
"Rab3c",3747.99689534158,-6.21169890765352,0.247504078302563,5.6281263957092e-141,4.77902972680987e-138
"Gapt",0.262455156048429,-0.0586834925745809,0.90710158535188,0.733696648471891,NA
"Plk2",9731.95791363542,1.26399344143419,0.238917803080214,3.67820222782786e-08,2.67251921140008e-07
"Gm33045",2.01106341813112,0.507181704375237,0.934110507069095,0.239809997656874,0.357644159025304
"Gm33172",0.133856980990187,0.0905602529700936,0.903243223439692,0.895625585999617,NA
"4930526H09Rik",10.3270341833387,0.398881732313207,0.597876480728084,0.381717076748398,0.511970768866882
"Gm38397",1.33577138846209,0.162630609998469,0.853891679385738,0.681353946229289,NA
"3110015C05Rik",1.19754019035934,-0.0711795070824407,0.86001775612266,0.753019157161059,NA
"Actbl2",0,NA,NA,NA,NA
"Gm6270",0.405653247698001,0.0246062106304875,0.881949100446815,0.928522709602957,NA
"Gpbp1",19538.4112032689,-0.272455642815947,0.134158015618002,0.0396825077715685,0.0818554771902428
"Gm15290",14.7869176383204,-0.62116088263952,0.558258490667552,0.159821326091748,0.259698185932334
"Gm15288",0.56753633664019,0.136638459400887,0.876422003462424,0.689021552908802,NA
"Gm15286",137.059692935689,-0.665018540827207,0.428022759913412,0.06599151958664,0.125477031438293
"Gm10198",0,NA,NA,NA,NA
"Mier3",4396.54470102733,-0.166216851861811,0.145564421086855,0.246356251900369,0.365545151497553
"Gm15287",50.9431998097297,-0.477710191620068,0.321096057399151,0.110495654821878,0.191987910238982
"Map3k1",5105.97050664884,0.326528623857376,0.185483072661554,0.0719933286809268,0.134879609827015
"Gm15327",30.4525310748486,0.0151597305396751,0.371803207962904,0.965999678506509,0.979729896495394
"Gm15325",0.801559904677799,-0.00416439866621206,0.855205452002118,0.970056563341899,NA
"Gm15324",3.35245915361203,1.93438612343515,2.06373269148794,0.017298967856604,0.0402515443166908
"Gm15326",1.16650917184927,0.10091689296348,0.822561195842817,0.774748024510674,NA
"Gm15322",0.133856980990187,0.0905602529700936,0.903243223439692,0.895625585999617,NA
"Gm15323",2.22335713934609,1.32999537467983,2.42566905361568,0.022442224841798,0.0503561380797994
"Gm48802",0.92125613886527,0.0710689521140918,0.884678005014882,0.750518489247604,NA
"Ankrd55",35.3925539451851,-0.39729031758722,0.346033178180633,0.211947147379649,0.324331208767296
"Gm48837",3.40381155028854,0.334647312944369,0.740486712754858,0.471355091718826,0.599166778608622
"2810403G07Rik",9.1631622452544,-0.251129018753336,0.558973398923837,0.566814503394435,0.683633950071958
"Gm48876",0.295740069932376,0.0990867436097109,0.907119248640587,0.75017602601933,NA
"Gm48879",1.3982988504745,0.498918104758188,1.00442601259182,0.198912035487428,NA
"Il6st",5373.00159911998,0.37176956434049,0.144078828722767,0.0088175002231337,0.0224184261231654
"Il31ra",5042.99769075158,0.15049764652001,0.337273625773519,0.6253947439292,0.732440150193207
"Ddx4",200.893247229198,-0.131082881834516,0.361937863183843,0.679656692050505,0.775176833368908
"Slc38a9",5754.75240935465,-0.92680424999619,0.129780386924064,4.98862859313442e-13,6.25087677233183e-12
"Gm47827",286.024312951863,-0.995101296134548,0.214313913224103,1.56689352274077e-06,8.88580712339679e-06
"Gm47850",0,NA,NA,NA,NA
"Plpp1",3628.68337826092,-0.466208851918854,0.188258080792706,0.0107246335195623,0.0265965064522322
"Mtrex",10130.9114173212,-0.355138706310255,0.152981250010285,0.0184027822185065,0.0424919913509033
"Dhx29",4050.41126243061,0.0161529251201375,0.143633604699164,0.909355618918326,0.942161509591468
"Ccno",78.4510737456282,1.51535007991032,0.460975717630593,0.000182091725678847,0.00069711521189404
"Mcidas",7.34229446403071,-0.0293542664574589,0.595147676843453,0.946740107494707,0.967389982929297
"Cdc20b",143.801423148463,0.517898477314154,0.322838284937215,0.0810475577001099,0.1484997264877
"Gpx8",3038.2497697628,1.33761477397874,0.500390629055089,0.000916100079663415,0.00299958013230666
"4930563N14Rik",0.455774743559508,-0.141773360952062,0.916677536020183,0.534605435521167,NA
"Gzma",0.133856980990187,0.0905602529700936,0.903243223439692,0.895625585999617,NA
"1700084D21Rik",0.429191570863746,0.18062552156283,0.918616177015398,0.547111368570038,NA
"Gzmk",19.7499177889877,-1.41539632564223,0.508802398659764,0.00141631341597859,0.00443614508282782
"Esm1",5.67985662356005,0.294774127438133,0.683429840873366,0.532775384810147,0.655513135947981
