	entrez	symbol	PCA.PC1	PCA.PC2	PCA.PC3	PCA.PC4	PCA.PC5	PCA.PC6	PCA.PC7	PCA.PC8	PCA.PC9	PCA.PC10	PCA.PC11	PCA.PC12	PCA.PC13	PCA.PC14	PCA.PC15	PCA.PC16	PCA.PC17	PCA.PC18	CTRL2_progenitor_0_weeks_untreated_1	CTRL2_progenitor_0_weeks_untreated_2	CTRL2_progenitor_0_weeks_untreated_3	CTRL2_CNTF_2_weeks_untreated_1	CTRL2_CNTF_2_weeks_untreated_2	CTRL2_CNTF_2_weeks_untreated_3	CTRL2_CNTF_3_weeks_untreated_1	CTRL2_CNTF_3_weeks_untreated_2	CTRL2_CNTF_3_weeks_untreated_3	CTRL3_progenitor_0_weeks_untreated_1	CTRL3_progenitor_0_weeks_untreated_2	CTRL3_progenitor_0_weeks_untreated_3	CTRL3_CNTF_2_weeks_untreated_1	CTRL3_CNTF_2_weeks_untreated_2	CTRL3_CNTF_2_weeks_untreated_3	CTRL3_CNTF_3_weeks_untreated_1	CTRL3_CNTF_3_weeks_untreated_2	CTRL3_CNTF_3_weeks_untreated_3
ENSG00000001084	2729	GCLC	0.00955633319318616	0.00375565738726472	0.00747250099919675	-0.00435346032166191	0.0071848018876983	7.49946009320972e-05	-0.00786662909603611	-0.00348448840735592	0.0112835404799865	0.000816442246497831	-0.00281107222329093	0.00829766416824356	-0.0119038171157214	-0.00415043631423674	3.68651749898988e-05	-0.00661140937437721	0.0132111043514073	0.017752343088815	680.946255536338	267.752015512595	523.465982723924	713.380387983616	239.555265469104	675.435041033049	517.886263909621	477.744525985216	209.302404847467	455.501082092579	333.863402567957	520.19272352064	968.356287144	1030.91703643013	856.310212346972	935.481423844604	1027.69971160858	1143.65497833038
ENSG00000001167	4800	NFYA	-0.000642395144148512	-0.00159693696206147	0.00219446719387579	-0.000518879690750257	0.00428202275995066	0.00140423892067849	0.00124516395218856	-0.00861639105430971	0.00324682704873356	-0.00082661963344851	-0.00306744859444288	-0.00277089342882178	-0.00326924476839587	-0.00376580260961535	0.00911092895131732	0.000703307499682611	0.00282002694482119	0.0137468759778843	1315.8566235975	1008.48265998557	1158.55667271343	874.088983209441	884.979870698589	1114.35526740024	758.28882510081	904.97523442198	937.773118877622	966.37275528733	1141.57561529083	1079.87696716974	945.69651658966	922.648245194904	960.592792446407	984.692204732745	873.105138952229	1032.97197492063
ENSG00000001460	90529	STPG1	0.0239650821551038	0.0026494368080518	0.0121535836724041	-0.0298155339565076	0.0190994637937652	-5.97592057458673e-05	-0.00264935218667321	0.000181150190684832	-0.00630098927701993	-0.00731018184436241	0.0120274971394436	-0.00782047181806593	0.00468863875872029	0.00469769421858248	-0.000852636108452328	0.00961349857180687	-0.00336164027821678	-0.0122187994590323	78.2939198116496	0	177.528299065861	100.826097464782	0	191.438516614225	119.53847897796	251.811253354465	2.07137549899617	127.456325803258	142.075088093082	92.1660927174426	1090.38809370606	592.74324779345	551.762370734656	1452.73997034357	683.829961615722	679.553060830626
ENSG00000001461	57185	NIPAL3	0.0169329275605765	0.00751714194009249	0.0236394561155707	-0.0367816221575353	0.0049871731560604	0.0158394273307026	0.00010470142365816	-0.00132097602247637	-0.0126275021378181	0.00919774009704193	-0.00189687434941864	-0.00171205070082216	0.0120055968009415	0.0017904961817454	0.00328844962701447	0.00296328094964822	0.00214045094154531	-0.00600193306600862	347.000695725961	8.28617163735596	1194.94288576078	632.498031826801	37.2006990716091	1487.63734635205	663.399175052421	1576.25778662261	103.076308357431	368.60312460315	607.609556481048	584.875546499304	1638.4924243498	1313.56217959033	1534.16916714393	1404.42950558953	1428.04993359231	1660.56213619447
ENSG00000001497	81887	LAS1L	-0.00146885915137122	0.00146297996671061	0.00191584429353229	0.00385363700193262	0.000670790330033328	-0.00100305086592352	0.00107183407531573	0.0039261213183346	-0.000680779673361811	0.000424081626301349	0.00408275139641454	0.00282532519461468	0.00227572363270939	0.00555992154693349	0.00181443926477966	0.000827033801690072	-0.000123988491745046	-0.0161044490960437	1375.05866875197	1532.18037565471	1417.21004372147	1602.34426457509	1437.72206945874	1269.26366427809	1507.79680484639	1328.68501924706	1124.36384349974	1167.72630311307	1309.28715910404	1180.7933967315	1164.13854134533	1258.26900936888	1187.6971486793	1098.56967186502	1163.49966034571	1112.21297944144
ENSG00000001561	22875	ENPP4	0.010612263267443	0.0137396790291773	0.0174477925750949	-0.00982035777588099	-0.0196519395235006	0.00431049214909704	-0.00346267608896426	0.00677823745946329	-0.00640434159281417	-0.0225810947865184	0.0176712301529945	-0.00262972238772495	-0.000755252988961468	0.00444299516096866	-0.00524867277758071	-0.00682236875062802	0.00252924752510724	0.00526779255422452	108.761571041993	1.17379618318334	40.302144211372	394.765280189903	7.47275163708211	224.219371419963	423.635301218598	316.088088530968	23.5279543270557	39.0195218439343	104.73785918175	64.0456135160125	130.380166223111	285.255018868489	167.341863475035	154.935625195984	370.989144195384	218.898721908134
ENSG00000001617	6405	SEMA3F	-0.0105020576683129	0.0137761804295759	-0.003919378907441	-0.0414413543389217	-0.0225481946257554	0.0117709357417432	-0.0154566211516829	-0.0123086891325983	-0.000680320928071886	-0.0503385762599138	-0.00829358915763388	0.0075872020289392	0.0158647296036863	0.0175606381434047	0.00602364650426621	-0.00134372633935459	-0.00684574417561646	0.00449408841404837	29.6878977200351	0	11.7336959001921	13.7297934144364	4.52053064594155	222.568138964704	21.8743249069736	1140.95996211253	398.075565424208	24.946962723073	3.37098636678417	0	6.44913994371695	4.01310354854126	13.88606969356	0	7.94767958668271	4.03369498336787
ENSG00000001629	54467	ANKIB1	-0.00218868810853749	0.0062762689863914	-0.00447400357585689	0.00224786384748727	0.00205276454711914	0.0026361602596227	-0.0014470831841572	-0.00361965506527686	-0.00212467370608849	0.00491436471372407	0.00554095029743671	0.000435787430180876	0.00361447798062163	0.00676487317389538	0.00302660748547839	0.00108256250173767	-5.11402139398477e-05	0.00335940625771885	3979.75349066295	4180.74578378001	4374.37838933503	4467.32917846161	5523.23522524386	3927.43340487918	4199.4416303882	4431.41918343231	5304.46448192886	2271.18692285941	2701.25796966867	2453.02928249308	3456.4740324785	3619.91893443031	3686.61098800949	3353.7971879977	3469.98696695291	3595.56111766834
ENSG00000001630	1595	CYP51A1	-0.00226758577726578	-0.00455594681358054	-0.00315851001968501	-0.00110216236503483	0.000299546100358953	0.00208982400955454	-0.00379458731268771	-0.000674236969304791	-0.00457865589647721	-0.00388944428740235	0.00930161878338043	0.00612347576738214	0.00663977548025507	-0.0024231937034659	-0.00216161773733583	0.00516508814498968	-0.00106952818655596	0.00523728585210979	4058.7262043108	5674.49227840117	4883.15224391645	3088.2761826102	4825.20354092761	3749.51300467556	3595.96717226192	4564.71685413158	5981.12846250527	5841.64626319502	5785.29061633077	4526.72236035754	4262.75269845338	4878.74469221706	3951.77215096342	3672.50746998748	4271.3887267458	3500.81247812856
ENSG00000001631	889	KRIT1	0.00173733032473978	-0.000789924758002903	-0.00152678657479456	0.0024229389518484	-0.000836750415553817	0.00145336574284455	-8.41974730584002e-05	-0.00110444221530831	0.000362064272511302	-0.00181615645958239	0.00785081537387742	-0.00282698893904651	0.00346924993341061	0.0084939174710194	0.0024182722417386	0.000651943752565973	0.00036257050087785	-0.00937476662086189	728.10086424539	737.162132034317	629.602636007942	739.076258999111	806.041494556061	577.483360135041	706.468747858314	706.040618517979	698.024797875725	683.715057348028	881.017857406007	694.052791716747	805.754018983101	878.032904126082	838.63088038988	812.734192716843	855.507698591146	842.158368908172
