	entrez	symbol	PCA.PC1	PCA.PC2	PCA.PC3	PCA.PC4	PCA.PC5	PCA.PC6	PCA.PC7	PCA.PC8	PCA.PC9	PCA.PC10	PCA.PC11	PCA.PC12	PCA.PC13	PCA.PC14	PCA.PC15	PCA.PC16	PCA.PC17	PCA.PC18	CTRL2_progenitor_0_weeks_untreated_1	CTRL2_progenitor_0_weeks_untreated_2	CTRL2_progenitor_0_weeks_untreated_3	CTRL2_BMP4_2_weeks_untreated_1	CTRL2_BMP4_2_weeks_untreated_2	CTRL2_BMP4_2_weeks_untreated_3	CTRL2_BMP4_3_weeks_untreated_1	CTRL2_BMP4_3_weeks_untreated_2	CTRL2_BMP4_3_weeks_untreated_3	CTRL3_progenitor_0_weeks_untreated_1	CTRL3_progenitor_0_weeks_untreated_2	CTRL3_progenitor_0_weeks_untreated_3	CTRL3_BMP4_2_weeks_untreated_1	CTRL3_BMP4_2_weeks_untreated_2	CTRL3_BMP4_2_weeks_untreated_3	CTRL3_BMP4_3_weeks_untreated_1	CTRL3_BMP4_3_weeks_untreated_2	CTRL3_BMP4_3_weeks_untreated_3
ENSG00000144560	9686	VGLL4	0.00134638723834845	-0.00293868145654032	-0.00312494164926401	-0.00565197328197808	0.00302009814545252	0.000307427864575318	0.000525659516521477	0.00302742169975728	-0.0043907526786613	0.00634451123667364	-0.00110304884141918	-0.000237137257954658	-0.00489234229837162	0.0029910429893749	-0.0047754153798328	0.00138673515670603	-0.000221632254625973	-1.58113146691914e-05	11.453988736814	11.7640047953452	11.5761506743713	12.1451901181161	12.3451810586824	12.3127381476788	11.9165293047286	12.1577657305121	12.1370509159873	12.0958014177814	12.1137320858928	12.070372212989	12.3157368019361	12.3498426054985	12.484607148253	12.064106936475	12.1946441356609	12.3791660265031
ENSG00000144566	5868	RAB5A	-0.000591158925331209	0.000422484910624159	0.000356012335911158	0.00327278720931045	-0.00113728626599283	-0.000231246902286796	-0.00102978590749825	0.00109873739121193	0.00243844445494276	0.00412414425347595	-0.00141693918595006	-0.00644906886183895	-0.00225805892779892	-0.000285138614793591	0.00263002640261564	-0.00443903912343323	-0.000889048742528259	-8.78222207309786e-05	11.3924639911943	11.3684565960506	11.1872237108992	11.1317918430414	11.2139088665045	11.2279959966473	11.2054236906052	10.9960642745967	11.1160664306691	10.9942163988412	10.9765764020748	11.2379049645704	11.2595130597883	10.9496105921146	11.0178534008398	11.0804237322426	11.2028377992233	11.0635054015319
ENSG00000144567	79137	RETREG2	0.00328894002973765	-0.00279264062537136	-0.0010993841649156	0.0037612174549635	0.000614320839840108	-0.00011818560622523	0.00142445145402287	0.000777792214493646	-0.00286941025704808	-0.000687949403256276	-0.00122677789057792	-0.0037966732598583	0.000930556245511901	-0.00498258153956185	0.000146374692615207	-0.000930026128849261	0.000973090722663057	0.0101883911699418	11.885498277334	11.7829758344139	11.8397652510938	11.9635385599047	11.9396319741963	11.6172673312601	11.9509446910546	11.6979261738876	11.6894017728574	11.6953815023305	11.809078000538	11.8827580060326	12.4285969940123	12.0704506081365	12.3179097412903	12.3915204142754	12.3763360518685	12.3571678014242
ENSG00000144579	58190	CTDSP1	0.00536021507469054	0.00263395992848206	-0.00130538211554329	0.000779074306382128	0.00423075669510986	0.00461507940225829	-0.00438336663104175	-0.00604493485299967	-0.000472471280328288	0.000557871977518617	-0.000498651654998332	0.00119309148745352	-0.000451592369133988	0.00273185944782918	-0.0080133659774931	0.00270066005299818	0.000395559220872717	0.00855867916493704	11.0701833025648	10.7099093799245	10.8395583202821	10.3772977362885	10.6761499924834	10.4168496541886	9.97746102341818	10.6384331540502	10.3249440580338	10.9993553324438	11.3840974332064	11.2345443370746	11.0128125271235	11.1954288391786	11.3014572873686	11.0774596605003	11.2472705662848	11.1805872865162
ENSG00000144580	9125	CNOT9	0.00276745574183043	0.00324504473633463	0.0042100723038324	-0.00292864582710972	0.000766093782095747	-0.00375036380354895	0.00354566285203872	-0.00332680000155093	-0.0019863275730846	0.00348484082386762	-0.000258678412048501	-0.00211663900732772	0.00373627389398527	-0.00849730262665808	-0.00595772561546915	0.00358271987283142	0.00532446698110531	-0.00309779695602414	10.2606553246944	9.85051399400467	10.0131503280369	10.079392420384	9.71724608324969	9.64139058972595	9.96377012805264	9.55910838412744	9.85730553713292	10.7733521511066	10.6279354041655	10.3382344601179	9.98876450033127	9.90818365334921	10.288372955337	9.97028151280143	10.0584312593533	10.1402631466086
ENSG00000144583	57574	MARCHF4	-0.0236071130499382	-0.0159731396890718	-0.00095336530446721	-0.0152088076583123	0.0256157716462874	0.00718308617142308	0.00189425042573901	0.0137671230158092	-0.0210321682708232	0.000704739654156078	0.0226149288995947	-0.000890372277164293	0.0111283227658916	-0.00583443488809441	0.00197871491853226	-0.00863973021762175	0.00457484875270722	-0.00128065332235695	6.93407435365723	8.27988621856924	8.9972969748146	10.3992095059821	10.4533953233127	11.157392720648	11.1353667248688	11.0665658643839	11.0931224704714	6.72246142943482	7.06682570656577	7.29772527769049	6.28604145484093	8.32916831310828	9.48046425531292	5.94461325059116	7.23835925312154	9.30891168433496
ENSG00000144589	114790	STK11IP	0.00550702523074167	-0.000385402237885885	0.000958215184428782	-0.000297423122710816	0.00568119025139628	-0.0036625802017363	-0.0068867610372956	0.00121147107761527	-0.00642308166954493	-0.00323738367973374	-0.00395711030777727	0.00315636549523602	0.00326214154176427	-0.000430797495485568	-0.00164693853133907	-0.00736780699829634	-0.00516301610521832	-0.00856313912978684	9.48183568102827	9.12092174369661	9.3928000435384	9.47566821816548	9.51263231669522	9.22397768503829	9.51571750700982	9.20881228113454	8.96532867607092	9.42646089021161	10.2404253668557	10.1474578074833	9.70305768959238	10.0426285326425	9.98425649979915	10.0098106804421	10.1102466004664	10.1038697297074
ENSG00000144591	29926	GMPPA	-0.0020522558092317	0.00120799132892586	-0.00213175179040876	-0.00825445263858361	0.000598096490552268	0.000556002362952271	0.00363996133794832	-1.38896237487622e-05	0.00305953090617496	-0.00127043706463111	-8.94320472225071e-05	-0.000740057626207178	0.000285121469525765	-0.00928277876701883	-0.00636156863040661	-0.00107791203592133	0.000739318962097162	-0.00163206225736436	9.25536562430816	9.71632394030176	9.43032056965667	9.44322146722308	9.79173279901642	9.86466114386723	9.7229681911446	10.0914588417281	9.99969065027856	10.2058478034243	9.90599175981595	9.41806370823186	9.38598777600586	9.45295748476805	9.57975070601211	9.20602976930761	9.52891379891128	9.62111836365365
ENSG00000144596	80852	GRIP2	-0.0120604856849093	-0.000173000673430737	0.0255384981974114	1.29238531351986e-05	0.00355740561232048	-0.0478543847639807	0.0181586445769599	0.0405189991348656	-0.00480654324708869	-0.018224544716225	0.00358638201087883	-0.0117097991149526	0.00173502095105326	-0.000393159983255655	0.0133061377478992	0.0202192226042831	0.00540311908855609	0.000954904089757264	5.36577241156555	6.66158264687926	5.8604560875351	9.55827259196648	4.74558767899608	5.62023874213611	9.4637477329804	4.84362925348326	6.20573951801616	5.68718768859632	6.0031755306361	6.19492646912163	4.2449355345037	4.93292883075416	4.5657114790841	4.2449355345037	4.77630753772371	4.64863759965365
ENSG00000144597	85403	EAF1	-0.00141662435768664	-0.00252530939863921	0.000366866255869047	0.00719850769408451	7.51038466177618e-05	-0.000205736524964074	8.53887433203921e-05	-0.00148111255752248	0.000824943047726276	0.00724894305736854	0.00279834810850461	-0.00193945110513339	0.00375488919550528	-0.000558246506002228	-0.0035125124588469	-0.00102850836083105	0.00282156474416947	-0.0103118906602326	10.8708547133662	10.5339517532144	10.4472005183506	10.7128337180705	10.5636102602344	10.5292514325467	10.5359887127576	10.3236147729757	10.4918831434869	9.84827881861656	9.94170472173299	10.141351695221	10.4440450463192	10.1601605707637	10.6002344525433	10.5670418939009	10.375626601407	10.4975498137493
ENSG00000144619	152330	CNTN4	-0.0170961091063898	-0.0144398729739369	0.0366324350361373	0.00642521920514917	-0.0035390578988428	0.0111630161004969	-0.00152277248411592	0.00641274001401539	0.0199032734075909	0.0126045694999233	-0.006049290739009	-0.000662235164497524	0.00685178295093842	0.010118843052696	0.00247417131116775	0.000679785133741366	-0.0159350731242828	0.00258070662065314	7.39012922844381	5.12902372379214	7.56932515302765	8.50303973904822	4.2449355345037	8.98505105127938	8.74101741094863	4.2449355345037	8.72055093754957	4.2449355345037	4.2449355345037	4.72167633113667	4.2449355345037	5.66075545488652	5.08705264439904	4.53280175619532	5.44619313151713	5.72355587245169
ENSG00000144635	51143	DYNC1LI1	-0.000230654562251332	-8.0130328876639e-05	0.00175771686559855	-0.00389175860677503	-0.00286608080245361	0.00169486444499106	0.00323165507429057	0.00130478344995373	0.00154674586616138	-0.00107135897528402	0.00252945109042728	-0.00271504128690006	-0.00605593072267105	-0.000300940582235366	0.00294451848698061	0.0034940467472062	0.00196507642269898	-0.0121282825809467	10.0229515580773	10.1592022997952	10.2853425586704	10.2572198733404	9.93341349654457	10.3702201737039	10.3420452567887	10.20070743531	10.4892601802801	10.5721209815345	10.2117317440843	10.2200317722593	10.4308258165881	10.2690375734373	10.177553570206	10.0572220706533	10.1419684885531	10.1241871819073
ENSG00000144642	27303	RBMS3	-0.00465783390816996	-0.0245430692437426	0.0109109753275827	0.00648743906884883	0.0178334524627556	0.00892104710440379	-0.00543898617829701	0.0136342976066352	-0.0184547760271987	0.0160340720677509	0.012183265847434	0.0123027760112415	0.00917628333017926	0.00044272612710932	-0.000792592951764039	0.00713936217090365	-0.00875849595319653	-0.00546732018005623	8.4477405920906	7.54150609691927	9.18226585081623	11.1407952580028	9.19092650539558	10.5431791273272	10.7322214540536	8.41495938261096	10.4841839821847	5.9880510871456	7.57113259745791	8.05548939769665	8.74868020503784	9.95718851955722	10.7302810700327	9.07594896513376	9.05824534059143	10.9363127846799
ENSG00000144645	114884	OSBPL10	-0.0187279120017257	-0.00915131671426217	-0.00198886999271349	-0.0157540595368546	-0.00917497482542386	0.00581541372836487	-0.00659565140824461	0.000792667689164233	-0.00284723215035283	0.00920240276251008	0.000389860829123732	0.00291677140293986	0.0107154031217376	-0.0085593781175974	-0.0105162598549709	-0.0120274921793192	0.0143209117523204	0.00305746163215779	5.95633659991728	6.14348776916831	6.9180438302662	7.33137154225456	8.03995668964539	9.37614075073841	8.24997075722117	8.50217040455154	9.3738413094494	6.32802664298426	5.75611054779374	5.40558272339406	5.64906048095178	5.52795989873657	6.23138639018714	5.84630729137267	5.70729196239917	5.79698158712839
