	entrez	symbol	PCA.PC1	PCA.PC2	PCA.PC3	PCA.PC4	PCA.PC5	PCA.PC6	PCA.PC7	PCA.PC8	PCA.PC9	PCA.PC10	PCA.PC11	PCA.PC12	PCA.PC13	PCA.PC14	PCA.PC15	PCA.PC16	PCA.PC17	PCA.PC18	CTRL2_progenitor_0_weeks_untreated_1	CTRL2_progenitor_0_weeks_untreated_2	CTRL2_progenitor_0_weeks_untreated_3	CTRL2_CNTF_3_weeks_untreated_1	CTRL2_CNTF_3_weeks_untreated_2	CTRL2_CNTF_3_weeks_untreated_3	CTRL2_BMP4_3_weeks_untreated_1	CTRL2_BMP4_3_weeks_untreated_2	CTRL2_BMP4_3_weeks_untreated_3	CTRL3_progenitor_0_weeks_untreated_1	CTRL3_progenitor_0_weeks_untreated_2	CTRL3_progenitor_0_weeks_untreated_3	CTRL3_CNTF_3_weeks_untreated_1	CTRL3_CNTF_3_weeks_untreated_2	CTRL3_CNTF_3_weeks_untreated_3	CTRL3_BMP4_3_weeks_untreated_1	CTRL3_BMP4_3_weeks_untreated_2	CTRL3_BMP4_3_weeks_untreated_3
ENSG00000001461	57185	NIPAL3	0.0111883717810973	-0.0155491926055455	0.00848210148512436	-0.0284197888619256	0.026697199578673	0.00471962240627929	0.00916642514793515	-0.0185241691288596	0.0161741093414173	0.00578558092665504	0.011655543508164	0.0043279632876877	0.00227311347965487	0.0124833637737783	-0.00599791819869117	0.0140185254577401	-0.00348061216418362	-0.00405426715459095	8.51990143924561	5.30529084328653	10.1791433963243	9.36668558727256	10.5639716241002	7.0858645565016	10.1785163801089	7.21437681737956	11.0918988534913	8.59183854043408	9.25635877239586	9.20246933659986	10.4055351306014	10.4315985676771	10.6357653693934	10.5951432242247	9.78716097147639	9.94749368365287
ENSG00000001497	81887	LAS1L	-0.00131935018144185	0.000658527826979418	0.00294748175157503	0.00120650997258698	-0.00111393298782382	0.000659237977328912	0.000186304756239011	0.00379441330007605	-0.000847796874177092	0.00341736386351417	0.00356501789398428	-0.00486398937186045	0.00293145143235022	-0.00291359424720562	-0.00127953412582792	0.00312708954917773	0.000158276702205607	0.012853116185373	10.4230835990487	10.5750044902019	10.4639233149063	10.5447619962245	10.3722000776615	10.1284819377084	10.4126244700902	10.3957809231626	10.1134889644718	10.1893416799264	10.3556354285024	10.2089166727672	10.110671094678	10.1931122474656	10.1235211908486	10.2639744018135	10.0117581279746	10.0674258001671
ENSG00000001561	22875	ENPP4	0.00629887261996457	-0.0157164988632436	0.0112820219608034	-0.0139922440115613	0.0110424740759644	-0.0186263231203239	-0.00814905400604976	-0.00635603317186747	0.000253235158056658	0.00806615677619504	0.00786040417608182	0.0117614118305997	0.00601740811470413	-0.0179001817016373	0.0018387154144992	0.0162543011138279	0.00858158020604867	-0.0154672809205158	7.20364596551025	4.79098477636227	6.27169303726407	8.83343978093112	8.45905799771598	5.87332861673611	8.33609213734193	6.10513694426839	8.38674770700285	6.24323195736388	7.16432053467701	6.67266588286345	7.59590065398843	8.66999000268125	8.00069880567342	7.33251094869135	7.73712408075609	7.24922042518509
ENSG00000001617	6405	SEMA3F	-0.0170515758291086	-0.0163234591905945	-0.000868761287207968	-0.00931354642145017	0.0207589050921578	-0.00681506438166859	-0.032689156932039	-0.0435200166401935	-0.0164575803064524	0.0102968584385927	-0.0378481242067195	-0.00628649486623867	-0.00598723412026183	-0.0257245918428941	-0.0109421493173044	0.0208591533369618	-0.00180054059121265	-0.00794284413974778	6.2180497569635	4.46198012176503	5.60472752896313	5.98787737911478	10.5102090605497	9.05722894018881	8.38734996500345	6.47209883503939	7.96711266634277	6.08269673174942	5.08627034685442	4.46198012176503	4.46198012176503	5.41146241328339	5.14260919798006	4.8745874453741	5.69172314788089	5.47392402905321
ENSG00000001629	54467	ANKIB1	-0.00263378960328601	-0.00580617421821477	-0.00208861363202023	0.0032989163412267	-0.00529402745375325	0.00559085068145501	0.00204169516240569	-0.00165890980811369	0.005303332970196	0.000641495433958267	0.00192015767776439	-0.000493985421299071	0.00229699829700921	0.00207756425673517	-0.00261203787247439	0.0102417807044121	0.000147952384137185	-0.0198503932951971	11.9155587238234	11.9863759150186	12.0490873552998	11.9848354074491	12.0659304249511	12.3112173970066	11.9145652862003	12.5632918050496	12.2799126511804	11.112442197813	11.3652197756776	11.2256403689332	11.6717750949693	11.7230787276648	11.7665133230567	12.2198691962267	11.8687476974306	12.2021254553575
ENSG00000001630	1595	CYP51A1	-0.00297029501631138	0.00494189159834317	-0.000762914248285049	0.00401884648546803	0.00304615505840014	-0.00444768822852278	-0.000851617720460385	-0.0018607545673916	-0.00243495754533367	-0.00140073985154314	-0.00205596341397787	-0.0136682163297815	0.00276471705616758	-0.00344920681493311	0.00500683131472157	0.00277410186050118	0.00316189591394382	0.0126390289808067	11.9768995252251	12.4564105955434	12.2396382633386	11.7968953571961	12.141607159845	12.5164440205934	12.0609841420937	12.5291472703378	11.5431803744484	12.49125253486	12.4845699374222	12.1307618912493	11.8343365820532	12.0526711862367	11.7617291098787	11.4591479187239	11.6135044927857	11.5630261449971
ENSG00000001631	889	KRIT1	0.00307561105749998	0.00130176597728129	0.000733847016014933	0.00149450807933981	-0.00156405742754113	0.00237237534285033	-0.00156710972111952	-0.00225765155172241	-0.00197542465284153	0.00444873744687536	-0.00424155529466077	-0.00168476659746623	0.0022683337455324	-0.00246641606219125	-6.59613377687488e-05	0.00963432869341522	-0.00223035917902603	-0.0126567983904637	9.52151848979566	9.53882741656814	9.32356294697876	9.47355697311333	9.47685735485808	9.45027611407156	9.19068121581208	9.07184392859203	8.96944850869675	9.43035749376397	9.78282173171165	9.45468476710552	9.67142478607414	9.74432942114935	9.71586615972604	9.92165020962796	9.58379822379394	9.54465569303661
ENSG00000002016	5893	RAD52	0.00338282767699876	0.00319861151008098	0.00121493255773142	-0.000675724625623169	-0.000755862013964081	-0.00160613890235075	-0.0067103917989331	0.00281180194378045	-0.00276053527896756	0.00461828603503983	0.00177784452323375	-0.0150833990615175	-0.0114933374379624	-0.00320877895493708	0.00554522772818915	0.00457751968144865	0.0176093969331177	-0.00588614570630427	7.97017981585697	7.86479681767774	7.74335169516292	8.25825284089603	7.97992960282525	7.76917008475839	7.97533484825876	7.67235595617401	7.10419038712333	8.31075987470517	8.47736164947151	8.38753741125405	8.5635802583753	8.34706823934589	7.64480954976491	8.13536347118239	7.84419723470587	8.32746204746035
ENSG00000002330	572	BAD	0.00326472525411032	9.91058998039173e-05	0.000149916891998818	0.0013326698471612	-0.000461630847734931	0.00544993299750829	0.0030794618646173	-0.00368133456227848	-0.0034500057093976	-0.000231199872823116	-0.00313361712628056	-0.000978688117861607	-0.00300447161236334	-0.000368102999818365	-0.00255615593051728	-0.00764377281581886	0.00230399894709161	-0.0135859162353114	10.6154266377738	10.8799537715266	10.7962888799441	10.5506274674042	10.7738176274419	10.6180885567533	10.5193014148785	10.3530709130587	10.3977925080721	10.6720680743344	10.5258152963573	10.9351795603597	11.2130414542236	11.0163237550185	11.0753690510561	11.104032943069	11.0086562188522	10.9284874980377
ENSG00000002549	51056	LAP3	-0.00218993202637458	-0.00181678075389538	-0.00192291238757201	0.00284975542686222	0.00291051402787412	-0.00327869391208864	-0.00880753162319209	-0.00514258090716186	-0.00279689174811096	-0.00511619096671231	0.00160052966178778	0.00279539777903135	-0.00730165605562172	0.00514588646239446	-0.00137753008672163	0.00165257818431839	8.3920837934845e-05	-0.0101303806733284	10.734242356842	10.7381070330515	10.623530099697	11.1553082090266	11.1597470613009	11.6264790850436	10.8330898980176	11.1350531814654	11.1336482383343	11.1445326289223	10.5469025580752	10.6242405038736	10.8864019269095	10.7523459611979	10.8527021636934	10.5210006789231	10.6365673455924	10.9054720821588
